workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.items	Answer.dimensions	Answer.desTypes	Answer.qualities	Answer.speakerGenders	Answer.genders	Answer.bins0	Answer.bins1	Answer.bins2	Answer.bins3	Answer.bins4	Answer.bins5	Answer.bins6	Answer.bins7	Answer.bins8	Answer.bins9	Answer.priors0	Answer.priors1	Answer.priors2	Answer.priors3	Answer.priors4	Answer.priors5	Answer.priors6	Answer.priors7	Answer.priors8	Answer.priors9
23	F	45	4	english	1,2,3,4,5,6	bird,elephant,cheetah,turtle,penguin,giraffe	weight,weight,speed,speed,height,height	lit,fig,fig,lit,fig,lit	light,heavy,fast,slow,short,tall	woman,man,woman,woman,woman,woman	man,woman,man,woman,man,woman	0-10,0-10,0-1,0-1,0-1,0-1	10-100,10-100,1-5,1-5,1-4,1-4	100-120,100-120,5-6,5-6,4-4.5,4-4.5	120-140,120-140,6-7,6-7,4.5-5,4.5-5	140-160,140-160,7-8,7-8,5-5.5,5-5.5	160-180,160-180,8-9,8-9,5.5-6,5.5-6	180-200,180-200,9-10,9-10,6-6.5,6-6.5	200-220,200-220,10-20,10-20,6.5-7,6.5-7	220-10000,220-10000,20-60,20-60,7-15,7-15	>10000,>10000,>60,>60,>15,>15	0.01,0.01,0.02,0.99,0.02,0.02	0.01,0.02,0.83,0.93,0.02,0.02	0.72,0.02,0.87,0,0.96,0.01	0.82,0.19,0.75,0,0.96,0.02	0.58,0.28,0.64,0,0.85,0.34	0.42,0.33,0,0.01,0.59,0.92	0.27,0.41,0.01,0.02,0.02,0.95	0.22,0.48,0.04,0.01,0.01,0.97	0.03,0.97,0.02,0.02,0.03,0.02	0.03,0.02,0.01,0.02,0.02,0.02
24	M	35	8	English	1,2,3,4,5,6	giraffe,turtle,bird,cheetah,penguin,elephant	height,speed,weight,speed,height,weight	lit,lit,lit,fig,fig,fig	tall,slow,light,fast,short,heavy	man,woman,man,woman,man,woman	man,woman,man,woman,woman,man	0-1,0-1,0-10,0-1,0-1,0-10	1-4,1-5,10-100,1-5,1-4,10-100	4-4.5,5-6,100-120,5-6,4-4.5,100-120	4.5-5,6-7,120-140,6-7,4.5-5,120-140	5-5.5,7-8,140-160,7-8,5-5.5,140-160	5.5-6,8-9,160-180,8-9,5.5-6,160-180	6-6.5,9-10,180-200,9-10,6-6.5,180-200	6.5-7,10-20,200-220,10-20,6.5-7,200-220	7-15,20-60,220-10000,20-60,7-15,220-10000	>15,>60,>10000,>60,>15,>10000	0.06,0.94,0.97,0.01,0.07,0.03	0.05,0.97,0.96,0.03,0.07,0.03	0.02,0.97,0.96,0.02,0.05,0.03	0.04,0.95,0.98,0.05,0.68,0.01	0.06,0.03,0.94,0.04,0.78,0.02	0.07,0.03,0.01,0.02,0.84,0.02	0.57,0.02,0.04,0.02,0.88,0.01	0.76,0.01,0.02,0.03,0.88,0.01	0.01,0.04,0.01,0.95,0.07,0.98	0.01,0.02,0.02,0.98,0.02,0.96
25	M	35	4	English	1,2,3,4,5,6	giraffe,cheetah,bird,elephant,turtle,penguin	height,speed,weight,weight,speed,height	fig,lit,fig,lit,fig,lit	tall,fast,light,heavy,slow,short	woman,woman,man,man,man,man	woman,man,woman,man,man,woman	0-1,0-1,0-10,0-10,0-1,0-1	1-4,1-5,10-100,10-100,1-5,1-4	4-4.5,5-6,100-120,100-120,5-6,4-4.5	4.5-5,6-7,120-140,120-140,6-7,4.5-5	5-5.5,7-8,140-160,140-160,7-8,5-5.5	5.5-6,8-9,160-180,160-180,8-9,5.5-6	6-6.5,9-10,180-200,180-200,9-10,6-6.5	6.5-7,10-20,200-220,200-220,10-20,6.5-7	7-15,20-60,220-10000,220-10000,20-60,7-15	>15,>60,>10000,>10000,>60,>15	0.03,0,0.02,0.01,0.98,0.01	0.01,1,0.23,0.01,1,0.92	0.03,1,0.89,0.01,0.2,0.88	0.03,0.65,0.97,0.03,0.2,0.85	0.01,0.63,0.96,0.02,0.18,0.89	0.02,0.6,0.95,0.13,0.21,0.84	0.4,0.71,0.16,0.29,0.19,0.1	0.73,0.22,0.01,0.54,0.02,0.04	0.85,0.02,0.02,0.97,0.03,0	0,0.02,0,0.01,0.02,0.01
26	M	35	8	english	1,2,3,4,5,6	turtle,giraffe,cheetah,bird,elephant,penguin	speed,height,speed,weight,weight,height	lit,fig,fig,lit,lit,fig	slow,tall,fast,light,heavy,short	man,woman,woman,man,woman,woman	man,man,woman,woman,woman,man	0-1,0-1,0-1,0-10,0-10,0-1	1-5,1-4,1-5,10-100,10-100,1-4	5-6,4-4.5,5-6,100-120,100-120,4-4.5	6-7,4.5-5,6-7,120-140,120-140,4.5-5	7-8,5-5.5,7-8,140-160,140-160,5-5.5	8-9,5.5-6,8-9,160-180,160-180,5.5-6	9-10,6-6.5,9-10,180-200,180-200,6-6.5	10-20,6.5-7,10-20,200-220,200-220,6.5-7	20-60,7-15,20-60,220-10000,220-10000,7-15	>60,>15,>60,>10000,>10000,>15	0.37,0.48,0.72,0.22,0.72,0.23	0.62,0.45,0.49,0.46,0.88,0.47	0.17,0.76,0.71,0.23,0.9,0.67	0.62,0.32,0.75,0.2,0.87,0.83	0.46,0.5,0.65,0.45,0.73,0.68	0.42,0.28,0.8,0.47,0.41,0.66	0.43,0.7,0.73,0.21,0.78,0.53	0.71,0.32,0.9,0.29,0.58,0.44	0.68,0.69,0.62,0.45,0.37,0.26	0.69,0.75,0.45,0.36,0.79,0.39
27	F	55	0	English	1,2,3,4,5,6	elephant,bird,turtle,cheetah,giraffe,penguin	weight,weight,speed,speed,height,height	fig,lit,fig,fig,lit,lit	heavy,light,slow,fast,tall,short	man,man,woman,woman,woman,man	man,man,woman,man,woman,woman	0-10,0-10,0-1,0-1,0-1,0-1	10-100,10-100,1-5,1-5,1-4,1-4	100-120,100-120,5-6,5-6,4-4.5,4-4.5	120-140,120-140,6-7,6-7,4.5-5,4.5-5	140-160,140-160,7-8,7-8,5-5.5,5-5.5	160-180,160-180,8-9,8-9,5.5-6,5.5-6	180-200,180-200,9-10,9-10,6-6.5,6-6.5	200-220,200-220,10-20,10-20,6.5-7,6.5-7	220-10000,220-10000,20-60,20-60,7-15,7-15	>10000,>10000,>60,>60,>15,>15	0.03,0.13,1,0.1,0.02,0.97	0.02,0.77,0.82,0.11,0.04,0.77	0.02,0.64,0.67,0.24,0.1,0.67	0.12,0.37,0.69,0.27,0.06,0.63	0.14,0.39,0.59,0.36,0.07,0.58	0.28,0.26,0.57,0.46,0.2,0.47	0.38,0.19,0.51,0.51,0.32,0.45	0.56,0.11,0.08,0.5,0.47,0.33	0.91,0.13,0.39,0.56,0.57,0.32	0.02,0.02,0.41,0.71,0.03,0.31
28	F	25	4	English	1,2,3,4,5,6	turtle,bird,cheetah,penguin,elephant,giraffe	speed,weight,speed,height,weight,height	lit,fig,lit,fig,lit,fig	slow,light,fast,short,heavy,tall	woman,woman,man,man,man,man	man,woman,man,woman,woman,man	0-1,0-10,0-1,0-1,0-10,0-1	1-5,10-100,1-5,1-4,10-100,1-4	5-6,100-120,5-6,4-4.5,100-120,4-4.5	6-7,120-140,6-7,4.5-5,120-140,4.5-5	7-8,140-160,7-8,5-5.5,140-160,5-5.5	8-9,160-180,8-9,5.5-6,160-180,5.5-6	9-10,180-200,9-10,6-6.5,180-200,6-6.5	10-20,200-220,10-20,6.5-7,200-220,6.5-7	20-60,220-10000,20-60,7-15,220-10000,7-15	>60,>10000,>60,>15,>10000,>15	0.84,0,0,0,0,0	0.46,0.95,0,0,0,0	0.33,0.78,0.01,0.84,0,0	0.23,0.57,0.2,0.6,0,0	0.16,0.29,0.43,0.27,0.01,0	0.1,0.09,0.82,0,0.32,0.44	0.06,0,1,0,0.58,0.79	0,0,0.91,0,0.84,0.88	0,0,0,0,0.84,1	0,0,0,0,0,0
29	F	45	4	english	1,2,3,4,5,6	elephant,penguin,giraffe,bird,turtle,cheetah	weight,height,height,weight,speed,speed	lit,fig,lit,fig,lit,fig	heavy,short,tall,light,slow,fast	man,woman,man,man,man,woman	man,woman,woman,woman,man,man	0-10,0-1,0-1,0-10,0-1,0-1	10-100,1-4,1-4,10-100,1-5,1-5	100-120,4-4.5,4-4.5,100-120,5-6,5-6	120-140,4.5-5,4.5-5,120-140,6-7,6-7	140-160,5-5.5,5-5.5,140-160,7-8,7-8	160-180,5.5-6,5.5-6,160-180,8-9,8-9	180-200,6-6.5,6-6.5,180-200,9-10,9-10	200-220,6.5-7,6.5-7,200-220,10-20,10-20	220-10000,7-15,7-15,220-10000,20-60,20-60	>10000,>15,>15,>10000,>60,>60	0.02,0,0.05,0.01,0.99,0.01	0.03,0.89,0.01,0.03,0.98,0.02	0.02,0.88,0.05,0.86,0.15,0	0.01,0.83,0.02,0.85,0.01,0.01	0.01,1,0.02,0.83,0.05,0.78	0.03,0.63,1,0.78,0.02,0.92	0.02,0.03,0.97,0.04,0.01,0.94	0.02,0.03,0.82,0.05,0.03,0.96	1,0.03,0.03,0.04,0.03,0.99	0.05,0.03,0.02,0.03,0.03,0.98
30	F	35	6	english	1,2,3,4,5,6	giraffe,turtle,penguin,bird,elephant,cheetah	height,speed,height,weight,weight,speed	fig,lit,lit,lit,fig,fig	tall,slow,short,light,heavy,fast	man,man,woman,man,woman,man	woman,man,woman,man,man,woman	0-1,0-1,0-1,0-10,0-10,0-1	1-4,1-5,1-4,10-100,10-100,1-5	4-4.5,5-6,4-4.5,100-120,100-120,5-6	4.5-5,6-7,4.5-5,120-140,120-140,6-7	5-5.5,7-8,5-5.5,140-160,140-160,7-8	5.5-6,8-9,5.5-6,160-180,160-180,8-9	6-6.5,9-10,6-6.5,180-200,180-200,9-10	6.5-7,10-20,6.5-7,200-220,200-220,10-20	7-15,20-60,7-15,220-10000,220-10000,20-60	>15,>60,>15,>10000,>10000,>60	0.01,1,0,0,0,0.93	0.02,1,0.05,0.11,0,0.95	0,0.17,0.44,0.64,0.09,0.92	0.12,0.13,0.68,0.74,0.18,0.79	0.43,0.07,0.89,0.56,0.33,0.67	0.87,0.01,0.67,0.29,0.56,0.47	0.84,0,0,0.06,0.7,0.22	0.4,0,0,0,0.77,0.1	0.02,0,0,0,0.86,0.01	0,0,0,0,0,0
31	M	55	8	English	1,2,3,4,5,6	cheetah,penguin,turtle,elephant,bird,giraffe	speed,height,speed,weight,weight,height	fig,lit,fig,lit,fig,lit	fast,short,slow,heavy,light,tall	man,man,woman,man,woman,woman	woman,man,man,woman,man,woman	0-1,0-1,0-1,0-10,0-10,0-1	1-5,1-4,1-5,10-100,10-100,1-4	5-6,4-4.5,5-6,100-120,100-120,4-4.5	6-7,4.5-5,6-7,120-140,120-140,4.5-5	7-8,5-5.5,7-8,140-160,140-160,5-5.5	8-9,5.5-6,8-9,160-180,160-180,5.5-6	9-10,6-6.5,9-10,180-200,180-200,6-6.5	10-20,6.5-7,10-20,200-220,200-220,6.5-7	20-60,7-15,20-60,220-10000,220-10000,7-15	>60,>15,>60,>10000,>10000,>15	0.98,0,0.06,0,0,0	0.97,0.06,0.73,0.11,0.68,0	0.97,0.06,0.9,0.28,0.86,0.04	0.97,0.06,0.06,0.39,0.56,0.06	0.97,1,0.06,0.51,0.44,0.39	0.92,0.52,0.05,0.73,0.3,0.91	0.85,0.06,0.03,0.84,0.18,0.85	0.7,0.05,0,0.75,0.06,0.7	0,0,0,0.53,0.02,0.56	0,0,0,0,0.01,0
32	F	35	8	english	1,2,3,4,5,6	elephant,giraffe,cheetah,bird,penguin,turtle	weight,height,speed,weight,height,speed	fig,lit,lit,fig,lit,fig	heavy,tall,fast,light,short,slow	woman,man,woman,woman,man,woman	man,woman,man,woman,man,woman	0-10,0-1,0-1,0-10,0-1,0-1	10-100,1-4,1-5,10-100,1-4,1-5	100-120,4-4.5,5-6,100-120,4-4.5,5-6	120-140,4.5-5,6-7,120-140,4.5-5,6-7	140-160,5-5.5,7-8,140-160,5-5.5,7-8	160-180,5.5-6,8-9,160-180,5.5-6,8-9	180-200,6-6.5,9-10,180-200,6-6.5,9-10	200-220,6.5-7,10-20,200-220,6.5-7,10-20	220-10000,7-15,20-60,220-10000,7-15,20-60	>10000,>15,>60,>10000,>15,>60	0,0.02,0.91,0.02,0.04,0.46	0.03,0.07,0.92,0.78,0.39,0.77	0.05,0.03,0.92,0.88,0.46,0.87	0.07,0.06,0.91,0.66,0.71,0.66	0.07,0.28,0.87,0.49,0.81,0.29	0.05,0.62,0.93,0.22,0.79,0	0.09,0.83,0.94,0.03,0.21,0.02	0.28,0.65,0.91,0.03,0.03,0.01	0.68,0.51,0.73,0.06,0.04,0	0.06,0.01,0.03,0.07,0.03,0.03
33	F	35	4	english	1,2,3,4,5,6	turtle,elephant,bird,cheetah,penguin,giraffe	speed,weight,weight,speed,height,height	fig,fig,fig,lit,lit,lit	slow,heavy,light,fast,short,tall	woman,woman,man,man,man,man	man,man,woman,man,woman,woman	0-1,0-10,0-10,0-1,0-1,0-1	1-5,10-100,10-100,1-5,1-4,1-4	5-6,100-120,100-120,5-6,4-4.5,4-4.5	6-7,120-140,120-140,6-7,4.5-5,4.5-5	7-8,140-160,140-160,7-8,5-5.5,5-5.5	8-9,160-180,160-180,8-9,5.5-6,5.5-6	9-10,180-200,180-200,9-10,6-6.5,6-6.5	10-20,200-220,200-220,10-20,6.5-7,6.5-7	20-60,220-10000,220-10000,20-60,7-15,7-15	>60,>10000,>10000,>60,>15,>15	0.9,0.99,0.02,0.99,0.99,0.99	0.77,0.98,0.97,0.98,0.98,0.98	0.6,0.98,0.81,0.97,1,0.99	0.52,0.98,0.57,0.99,0.59,0.97	0.37,0.98,0.18,0.98,0.01,0.99	0.28,0.99,0.09,0.97,0.01,0.98	0.15,0.98,0.02,0.99,0,0.74	0.06,0.92,0.02,0.98,0.01,0.68	0,0.84,0.03,0.54,0.02,0.48	0,0.44,0.04,0,0.03,0.03
34	M	35	0	English	1,2,3,4,5,6	giraffe,cheetah,bird,elephant,turtle,penguin	height,speed,weight,weight,speed,height	fig,lit,fig,lit,fig,lit	tall,fast,light,heavy,slow,short	man,woman,woman,man,man,woman	woman,man,man,woman,man,woman	0-1,0-1,0-10,0-10,0-1,0-1	1-4,1-5,10-100,10-100,1-5,1-4	4-4.5,5-6,100-120,100-120,5-6,4-4.5	4.5-5,6-7,120-140,120-140,6-7,4.5-5	5-5.5,7-8,140-160,140-160,7-8,5-5.5	5.5-6,8-9,160-180,160-180,8-9,5.5-6	6-6.5,9-10,180-200,180-200,9-10,6-6.5	6.5-7,10-20,200-220,200-220,10-20,6.5-7	7-15,20-60,220-10000,220-10000,20-60,7-15	>15,>60,>10000,>10000,>60,>15	0,0,0,0,0.01,0	0,0.06,0.36,0,0.3,0.2	0,0.06,0.62,0.14,0.73,0.47	0.06,0.06,0.65,0.43,0.67,0.73	0.09,0.05,0.57,0.7,0.65,0.67	0.33,0.05,0.35,0.6,0.65,0.3	0.76,0.03,0.13,0.47,0.64,0.08	0.64,0.67,0.08,0.26,0.35,0	0.17,0.87,0,0.18,0.08,0	0,0,0,0,0,0
35	F	25	4	english	1,2,3,4,5,6	elephant,cheetah,giraffe,bird,turtle,penguin	weight,speed,height,weight,speed,height	lit,lit,fig,fig,fig,lit	heavy,fast,tall,light,slow,short	man,man,woman,woman,man,man	woman,man,man,woman,woman,man	0-10,0-1,0-1,0-10,0-1,0-1	10-100,1-5,1-4,10-100,1-5,1-4	100-120,5-6,4-4.5,100-120,5-6,4-4.5	120-140,6-7,4.5-5,120-140,6-7,4.5-5	140-160,7-8,5-5.5,140-160,7-8,5-5.5	160-180,8-9,5.5-6,160-180,8-9,5.5-6	180-200,9-10,6-6.5,180-200,9-10,6-6.5	200-220,10-20,6.5-7,200-220,10-20,6.5-7	220-10000,20-60,7-15,220-10000,20-60,7-15	>10000,>60,>15,>10000,>60,>15	0.01,0.02,0.02,0.02,0.01,0.01	0.01,0.46,0.02,0.16,0.84,0.01	0.02,0.5,0.01,0.91,0.19,0.01	0.04,0.16,0.02,0.14,0.01,0.01	0.1,0.01,0.02,0.08,0.02,0.89	0.53,0.02,0.16,0.01,0.02,0.27	0.61,0.01,0.73,0.01,0.01,0.01	0.61,0.01,0.63,0,0,0.01	0.06,0,0.07,0.02,0.01,0.01	0,0.01,0.01,0.01,0.01,0.02
36	F	45	8	English	1,2,3,4,5,6	elephant,penguin,cheetah,bird,giraffe,turtle	weight,height,speed,weight,height,speed	fig,fig,lit,fig,lit,lit	heavy,short,fast,light,tall,slow	man,man,woman,man,man,woman	man,man,woman,man,woman,woman	0-10,0-1,0-1,0-10,0-1,0-1	10-100,1-4,1-5,10-100,1-4,1-5	100-120,4-4.5,5-6,100-120,4-4.5,5-6	120-140,4.5-5,6-7,120-140,4.5-5,6-7	140-160,5-5.5,7-8,140-160,5-5.5,7-8	160-180,5.5-6,8-9,160-180,5.5-6,8-9	180-200,6-6.5,9-10,180-200,6-6.5,9-10	200-220,6.5-7,10-20,200-220,6.5-7,10-20	220-10000,7-15,20-60,220-10000,7-15,20-60	>10000,>15,>60,>10000,>15,>60	0,0.04,0.03,0.02,0.05,0.98	0,0.97,0.01,0.18,0.02,0.02	0,0.01,0.02,0.97,0.03,0.03	0.03,0.01,0.01,0.56,0.02,0.02	0.01,0.02,0.01,0.02,0,0.03	0.01,0.02,0,0.01,0.85,0.03	0.01,0.02,0,0.01,0.96,0.03	0,0.02,0.96,0.03,0.02,0.03	1,0.03,0.03,0.01,0.02,0.03	null,0.01,0.03,0.01,0.03,0.03
37	F	55	4	English	1,2,3,4,5,6	giraffe,cheetah,turtle,bird,elephant,penguin	height,speed,speed,weight,weight,height	lit,fig,fig,lit,lit,fig	tall,fast,slow,light,heavy,short	woman,woman,woman,woman,man,woman	woman,man,man,man,woman,woman	0-1,0-1,0-1,0-10,0-10,0-1	1-4,1-5,1-5,10-100,10-100,1-4	4-4.5,5-6,5-6,100-120,100-120,4-4.5	4.5-5,6-7,6-7,120-140,120-140,4.5-5	5-5.5,7-8,7-8,140-160,140-160,5-5.5	5.5-6,8-9,8-9,160-180,160-180,5.5-6	6-6.5,9-10,9-10,180-200,180-200,6-6.5	6.5-7,10-20,10-20,200-220,200-220,6.5-7	7-15,20-60,20-60,220-10000,220-10000,7-15	>15,>60,>60,>10000,>10000,>15	0,0,0.39,0,0,0	0,0,0.7,0,0,0	0,0,0.42,0.22,0.07,0.18	0,0,0,0.46,0.16,0.35	0.47,0,0,0.7,0.25,0.52	1,0.84,0,0.47,0.37,0.39	0.48,0.82,0,0.09,0.49,0.04	0,0.83,0,0,0.59,0	0,0,0,0,0.69,0	0,0,0,0,0,0
38	M	35	4	English	1,2,3,4,5,6	turtle,penguin,cheetah,giraffe,elephant,bird	speed,height,speed,height,weight,weight	lit,lit,fig,lit,fig,fig	slow,short,fast,tall,heavy,light	woman,man,woman,woman,woman,man	woman,man,man,man,woman,woman	0-1,0-1,0-1,0-1,0-10,0-10	1-5,1-4,1-5,1-4,10-100,10-100	5-6,4-4.5,5-6,4-4.5,100-120,100-120	6-7,4.5-5,6-7,4.5-5,120-140,120-140	7-8,5-5.5,7-8,5-5.5,140-160,140-160	8-9,5.5-6,8-9,5.5-6,160-180,160-180	9-10,6-6.5,9-10,6-6.5,180-200,180-200	10-20,6.5-7,10-20,6.5-7,200-220,200-220	20-60,7-15,20-60,7-15,220-10000,220-10000	>60,>15,>60,>15,>10000,>10000	0.95,0,1,0,0,0	0.79,0,1,0,0,0.72	0.71,0.23,1,0,0,0.49	0.57,0.41,0.83,0,0.49,0.11	0.36,0.65,0.75,0.14,0.67,0	0.23,0.43,0.6,0.65,0.79,0	0.2,0,0.37,0.77,0.63,0	0,0,0.2,0.57,0.38,0	0,0,0,0.21,0.15,0	0,0,0,0,0,0
39	F	45	0	English	1,2,3,4,5,6	turtle,bird,giraffe,cheetah,penguin,elephant	speed,weight,height,speed,height,weight	fig,lit,lit,lit,fig,fig	slow,light,tall,fast,short,heavy	woman,woman,woman,woman,woman,man	man,woman,woman,man,woman,man	0-1,0-10,0-1,0-1,0-1,0-10	1-5,10-100,1-4,1-5,1-4,10-100	5-6,100-120,4-4.5,5-6,4-4.5,100-120	6-7,120-140,4.5-5,6-7,4.5-5,120-140	7-8,140-160,5-5.5,7-8,5-5.5,140-160	8-9,160-180,5.5-6,8-9,5.5-6,160-180	9-10,180-200,6-6.5,9-10,6-6.5,180-200	10-20,200-220,6.5-7,10-20,6.5-7,200-220	20-60,220-10000,7-15,20-60,7-15,220-10000	>60,>10000,>15,>60,>15,>10000	0.92,0,0,0,0.14,0.01	0.8,0.47,0,0.08,0.51,0	0.16,0.68,0,0.16,0.57,0	0.12,0.61,0,0.21,0.57,0	0,0.36,0.14,0.26,0.43,0	0,0.15,0.3,0.34,0.1,0	0,0.12,0.45,0.45,0,0	0,0.08,0.49,0.49,0,0	0,0,0.12,0.42,0,1	0,0,0,0,0,0
40	M	25	4	English	1,2,3,4,5,6	elephant,cheetah,bird,giraffe,penguin,turtle	weight,speed,weight,height,height,speed	lit,fig,fig,lit,fig,lit	heavy,fast,light,tall,short,slow	woman,man,man,man,woman,woman	man,man,woman,woman,woman,man	0-10,0-1,0-10,0-1,0-1,0-1	10-100,1-5,10-100,1-4,1-4,1-5	100-120,5-6,100-120,4-4.5,4-4.5,5-6	120-140,6-7,120-140,4.5-5,4.5-5,6-7	140-160,7-8,140-160,5-5.5,5-5.5,7-8	160-180,8-9,160-180,5.5-6,5.5-6,8-9	180-200,9-10,180-200,6-6.5,6-6.5,9-10	200-220,10-20,200-220,6.5-7,6.5-7,10-20	220-10000,20-60,220-10000,7-15,7-15,20-60	>10000,>60,>10000,>15,>15,>60	0,0.02,0.94,0,0.63,0.88	0,0.02,0.36,0,0.76,0.77	0,0.01,0,0,0.57,0.26	0,0.01,0,0,0,0	0,0.02,0,0.17,0,0	0.16,0.02,0,0.77,0,0	0.41,0.02,0,0.88,0,0	0.84,0.4,0,0.9,0,0	0.06,0.77,0,0.77,0,0	0,0.82,0,0,0,0
